,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
1449,CA,1782171,19733,29618,138,1517,-114,469,12,2021,11,26
1527,CA,1802360,20189,29757,139,1473,-44,447,-22,2021,12,03
1542,CA,1827691,25331,29900,143,1391,-82,431,-16,2021,12,10
1556,CA,1866876,39185,30032,132,1448,57,434,3,2021,12,17
1570,CA,1958897,92021,30143,111,1718,270,456,22,2021,12,24
1352,CA,2163062,204165,30306,163,2962,1244,537,81,2021,12,31
1426,CA,2482142,319080,30668,362,5943,2981,793,256,2022,01,07
1480,CA,2720411,238269,31323,655,9154,3211,1051,258,2022,01,14
1205,CA,2892021,171610,32380,1057,10626,1472,1187,136,2022,01,21
1219,CA,3015019,122998,33522,1142,10320,-306,1194,7,2022,01,28
1233,CA,3108404,93385,34537,1015,8877,-1443,1064,-114,2022,02,04
1262,CA,3176244,67840,35332,795,7543,-1334,954,-110,2022,02,11
1447,CA,3232379,56135,35996,664,6212,-1331,765,-189,2022,02,18
1493,CA,3275054,42675,36463,467,5160,-1052,640,-125,2022,02,25
1507,CA,3314924,39870,36912,449,4454,-706,551,-89,2022,03,04
1420,CA,3352538,44052,36846,-1,3935,-671,481,-79,2022,03,11
1476,CA,3391259,38721,37150,304,3527,-408,405,-88,2022,03,18
1581,CA,3433430,42171,37411,261,3617,90,395,-10,2022,03,25
1595,CA,3489741,58710,37674,263,4002,385,379,-16,2022,04,01
1609,CA,3559159,69411,38003,329,4613,611,374,-5,2022,04,08
1623,CA,3614094,54935,38288,285,5711,1098,433,59,2022,04,15
1637,CA,3682060,67966,38753,465,6412,701,456,23,2022,04,22
1651,CA,3736579,54519,39230,477,6556,144,440,-16,2022,04,29
1665,CA,3777640,41061,39716,486,6274,-282,419,-21,2022,05,06
1679,CA,3807066,29426,40218,502,5671,-603,363,-56,2022,05,13
1693,CA,3835020,27954,40665,447,4896,-775,349,-14,2022,05,20
1707,CA,3853250,18230,40968,303,4204,-692,306,-43,2022,05,27
1721,CA,3870273,17023,41207,239,3518,-686,238,-68,2022,06,03
1735,CA,3885788,15515,41439,232,3050,-468,208,-30,2022,06,10
1749,CA,3899237,13449,41656,217,2787,-263,205,-3,2022,06,17
1763,CA,3913248,14011,41790,134,2762,-25,198,-7,2022,06,24
1777,CA,3931492,18244,41924,134,2900,138,187,-11,2022,07,01
1791,CA,3953390,21898,42080,156,3270,370,224,37,2022,07,08
1805,CA,3988290,34900,42251,171,3933,663,235,11,2022,07,15
1819,CA,4022140,33850,42495,244,4830,897,266,31,2022,07,22
1833,CA,4053640,31500,42765,270,5089,259,299,33,2022,07,29
1847,CA,4080765,27125,42956,191,5056,-33,309,10,2022,08,05
1861,CA,4105637,24872,43273,317,4945,-111,287,-22,2022,08,12
1875,CA,4130420,24783,43552,279,5114,169,292,5,2022,08,19
1889,CA,4152773,22353,43849,297,5121,7,294,2,2022,08,26
1903,CA,4172728,19955,44158,309,4784,-337,287,-7,2022,09,02
1917,CA,4190303,17575,44388,230,4608,-176,266,-21,2022,09,09
1931,CA,4209099,18796,44679,291,4603,-5,281,15,2022,09,16
1945,CA,4226593,17494,45014,335,4542,-61,270,-11,2022,09,23
1959,CA,4245126,18533,45245,231,4945,403,298,28,2022,09,30
1973,CA,4263952,18826,45437,192,5301,356,291,-7,2022,10,07
1987,CA,4287576,23624,45795,358,5309,8,279,-12,2022,10,14
2001,CA,4309066,21490,46068,273,5515,206,310,31,2022,10,21
2015,CA,4330713,21647,46424,356,5617,102,281,-29,2022,10,28
2029,CA,4350987,20274,46729,305,5512,-105,259,-22,2022,11,04
2043,CA,4370035,19048,47108,379,5398,-114,259,0,2022,11,11
2057,CA,4386093,16058,47494,386,4950,-448,254,-5,2022,11,18
2071,CA,4399110,13017,47746,252,4647,-303,291,37,2022,11,25
2085,CA,4415436,16326,48002,256,4942,295,297,6,2022,12,02
2099,CA,4429795,14359,48241,239,4751,-191,265,-32,2022,12,09
2113,CA,4446326,16531,48504,263,4874,123,268,3,2022,12,16
2127,CA,4463799,17473,48759,255,4800,-74,273,5,2022,12,23
2141,CA,4470701,6902,48864,105,4775,-25,267,-6,2022,12,30
2155,CA,4497281,26580,49221,357,5144,369,303,36,2023,01,06
2169,CA,4512125,14844,49497,276,5017,-127,254,-49,2023,01,13
2183,CA,4525698,13573,49761,264,4387,-630,246,-8,2023,01,20
2197,CA,4536714,11016,49971,210,4017,-370,214,-32,2023,01,27
2211,CA,4547416,10702,50202,231,3629,-388,191,-23,2023,02,03
2226,CA,4557477,10061,50408,214,3361,-267,196,5,2023,02,10
2240,CA,4567954,10477,50592,184,3331,-30,182,-14,2023,02,17
2254,CA,4577352,9398,50752,160,3261,-70,182,0,2023,02,24
2268,CA,4586677,9325,50943,191,3222,-39,188,6,2023,03,03
2282,CA,4595157,8480,51113,170,3150,-72,185,-3,2023,03,10
52,MB,0,0,0,0,0,0,0,0,2020,01,31
66,MB,0,0,0,0,0,0,0,0,2020,02,07
80,MB,0,0,0,0,0,0,0,0,2020,02,14
94,MB,0,0,0,0,0,0,0,0,2020,02,21
158,MB,0,0,0,0,0,0,0,0,2020,02,28
183,MB,0,0,0,0,0,0,0,0,2020,03,06
211,MB,4,4,0,0,0,0,0,0,2020,03,13
272,MB,17,13,0,0,0,0,0,0,2020,03,20
300,MB,39,22,1,1,0,0,0,0,2020,03,27
324,MB,182,143,2,1,0,0,0,0,2020,04,03
338,MB,230,48,4,2,10,10,5,5,2020,04,10
174,MB,250,20,5,1,8,-2,4,-1,2020,04,17
202,MB,263,13,6,1,7,-1,3,-1,2020,04,24
222,MB,279,16,6,0,5,-2,0,-3,2020,05,01
236,MB,284,5,7,1,5,0,0,0,2020,05,08
112,MB,289,5,7,0,3,-2,1,1,2020,05,15
126,MB,292,3,7,0,1,-2,0,-1,2020,05,22
140,MB,294,2,7,0,0,-1,0,0,2020,05,29
246,MB,300,6,7,0,0,0,0,0,2020,06,05
268,MB,301,1,7,0,0,0,0,0,2020,06,12
293,MB,309,8,7,0,0,0,0,0,2020,06,19
347,MB,318,9,7,0,0,0,0,0,2020,06,26
10,MB,325,7,7,0,0,0,0,0,2020,07,03
24,MB,325,0,7,0,0,0,0,0,2020,07,10
38,MB,336,11,7,0,0,0,0,0,2020,07,17
350,MB,384,48,7,0,2,2,2,2,2020,07,24
366,MB,415,31,8,1,6,4,5,3,2020,07,31
380,MB,491,76,8,0,9,3,3,-2,2020,08,07
394,MB,643,152,8,0,9,0,3,0,2020,08,14
420,MB,830,187,12,4,5,-4,1,-2,2020,08,21
440,MB,1096,266,14,2,5,0,1,0,2020,08,28
454,MB,1273,177,16,2,11,6,1,0,2020,09,04
428,MB,1393,120,16,0,12,1,4,3,2020,09,11
520,MB,1540,147,16,0,11,-1,3,-1,2020,09,18
616,MB,1764,224,19,3,13,2,6,3,2020,09,25
660,MB,2072,308,21,2,18,5,7,1,2020,10,02
490,MB,2428,356,30,9,25,7,6,-1,2020,10,09
537,MB,3173,745,38,8,25,0,5,-1,2020,10,16
551,MB,3935,762,48,10,51,26,8,3,2020,10,23
565,MB,5374,1439,65,17,104,53,19,11,2020,10,30
762,MB,7419,2045,96,31,161,57,20,1,2020,11,06
776,MB,10216,2797,137,41,231,70,34,14,2020,11,13
790,MB,12919,2703,207,70,281,50,43,9,2020,11,20
405,MB,15632,2713,280,73,322,41,45,2,2020,11,27
483,MB,18069,2437,362,82,361,39,55,10,2020,12,04
569,MB,20392,2323,465,103,297,-64,40,-15,2020,12,11
593,MB,22397,2005,547,82,305,8,43,3,2020,12,18
505,MB,23624,1227,617,70,254,-51,35,-8,2020,12,25
606,MB,24700,1076,667,50,247,-7,33,-2,2021,01,01
642,MB,25963,1263,726,59,227,-20,31,-2,2021,01,08
588,MB,27145,1182,760,34,118,-109,16,-15,2021,01,15
635,MB,28260,1115,795,35,133,15,24,8,2021,01,22
680,MB,29280,1020,823,28,122,-11,29,5,2021,01,29
694,MB,30078,798,838,15,115,-7,23,-6,2021,02,05
708,MB,30588,510,866,28,90,-25,11,-12,2021,02,12
722,MB,31235,647,879,13,80,-10,12,1,2021,02,19
736,MB,31721,486,889,10,67,-13,10,-2,2021,02,26
829,MB,32104,383,904,15,55,-12,9,-1,2021,03,05
937,MB,32607,503,912,8,54,-1,10,1,2021,03,12
1048,MB,33176,569,919,7,58,4,10,0,2021,03,19
1124,MB,33810,634,932,13,58,0,12,2,2021,03,26
832,MB,34174,364,937,5,65,7,12,0,2021,04,02
940,MB,34969,795,949,12,56,-9,14,2,2021,04,09
1040,MB,35815,846,955,6,60,4,17,3,2021,04,16
1075,MB,37069,1254,964,9,73,13,21,4,2021,04,23
1129,MB,38729,1660,974,10,87,14,24,3,2021,04,30
1168,MB,40940,2211,987,13,137,50,44,20,2021,05,07
1183,MB,44189,3249,1002,15,179,42,50,6,2021,05,14
851,MB,47504,3315,1022,20,236,57,56,6,2021,05,21
956,MB,50144,2640,1042,20,238,2,49,-7,2021,05,28
1057,MB,52261,2117,1071,29,207,-31,42,-7,2021,06,04
1134,MB,53872,1611,1089,18,197,-10,45,3,2021,06,11
824,MB,55098,1226,1115,26,143,-54,37,-8,2021,06,18
863,MB,55777,679,1135,20,98,-45,28,-9,2021,06,25
877,MB,56306,529,1147,12,66,-32,17,-11,2021,07,02
807,MB,56739,433,1160,13,52,-14,14,-3,2021,07,09
943,MB,57065,326,1164,4,37,-15,9,-5,2021,07,16
1001,MB,57359,294,1170,6,28,-9,8,-1,2021,07,23
1085,MB,57593,234,1178,8,34,6,9,1,2021,07,30
904,MB,57764,171,1184,6,33,-1,4,-5,2021,08,06
963,MB,57972,208,1185,1,14,-19,2,-2,2021,08,13
977,MB,58176,204,1188,3,13,-1,4,2,2021,08,20
959,MB,58506,330,1189,1,19,6,5,1,2021,08,27
1054,MB,58845,339,1192,3,23,4,2,-3,2021,09,03
1131,MB,59203,358,1200,8,36,13,9,7,2021,09,10
1192,MB,59612,409,1204,4,37,1,7,-2,2021,09,17
1258,MB,60000,388,1207,3,34,-3,10,3,2021,09,24
1286,MB,60628,628,1211,4,60,26,14,4,2021,10,01
1300,MB,61385,757,1217,6,48,-12,9,-5,2021,10,08
1314,MB,61987,602,1230,13,53,5,12,3,2021,10,15
1350,MB,62588,601,1235,5,59,6,17,5,2021,10,22
1386,MB,63353,765,1246,11,60,1,20,3,2021,10,29
1400,MB,64209,856,1256,10,88,28,19,-1,2021,11,05
1254,MB,65371,1162,1269,13,110,22,23,4,2021,11,12
1336,MB,66378,1007,1285,16,107,-3,20,-3,2021,11,19
1378,MB,67420,1042,1305,20,83,-24,17,-3,2021,11,26
1462,MB,68308,888,1328,23,88,5,16,-1,2021,12,03
1531,MB,69507,1199,1345,17,87,-1,27,11,2021,12,10
1545,MB,70785,1278,1360,15,84,-3,24,-3,2021,12,17
1559,MB,73573,2788,1370,10,90,6,18,-6,2021,12,24
1319,MB,80096,6523,1392,22,148,58,27,9,2021,12,31
1361,MB,94850,14754,1408,16,257,109,33,6,2022,01,07
1438,MB,107838,12988,1443,35,481,224,43,10,2022,01,14
1518,MB,114021,6183,1492,49,586,105,44,1,2022,01,21
1208,MB,118862,4841,1543,51,606,20,46,2,2022,01,28
1222,MB,122632,3770,1585,42,517,-89,39,-7,2022,02,04
1236,MB,125844,3212,1619,34,408,-109,27,-12,2022,02,11
1274,MB,128486,2642,1649,30,302,-106,13,-14,2022,02,18
1459,MB,130277,1791,1675,26,222,-80,13,0,2022,02,25
1496,MB,131526,1249,1690,15,160,-62,12,-1,2022,03,04
1510,MB,132681,1326,1710,25,162,-18,14,-2,2022,03,11
1432,MB,133928,1247,1726,16,164,2,13,-1,2022,03,18
1487,MB,134907,979,1739,13,165,1,14,1,2022,03,25
1584,MB,135214,307,1747,8,111,-54,16,2,2022,04,01
1598,MB,136573,1359,1751,4,141,30,11,-5,2022,04,08
1612,MB,138271,1698,1759,8,158,17,19,8,2022,04,15
1626,MB,139465,1194,1774,15,184,26,22,3,2022,04,22
1640,MB,140931,1466,1792,18,188,4,12,-10,2022,04,29
1654,MB,141973,1042,1819,27,173,-15,12,0,2022,05,06
1668,MB,142875,902,1847,28,196,23,13,1,2022,05,13
1682,MB,143603,728,1913,66,149,-47,16,3,2022,05,20
1696,MB,144140,537,1928,15,112,-37,21,5,2022,05,27
1710,MB,144556,416,1980,52,120,8,9,-12,2022,06,03
1724,MB,144895,339,2004,24,100,-20,7,-2,2022,06,10
1738,MB,145123,228,2015,11,80,-20,14,7,2022,06,17
1752,MB,145326,203,2025,10,58,-22,8,-6,2022,06,24
1766,MB,145498,172,2043,18,46,-12,5,-3,2022,07,01
1780,MB,145623,125,2047,4,46,0,7,2,2022,07,08
1794,MB,145853,230,2053,6,59,13,7,0,2022,07,15
1808,MB,146024,171,2056,3,52,-7,2,-5,2022,07,22
1822,MB,146266,242,2061,5,45,-7,8,6,2022,07,29
1836,MB,146524,258,2067,6,53,8,7,-1,2022,08,05
1850,MB,146874,350,2079,12,57,4,12,5,2022,08,12
1864,MB,147329,455,2093,14,72,15,19,7,2022,08,19
1878,MB,147806,477,2105,12,60,-12,8,-11,2022,08,26
1892,MB,148428,622,2115,10,67,7,9,1,2022,09,02
1906,MB,148903,475,2118,3,70,3,16,7,2022,09,09
1920,MB,149245,342,2137,19,65,-5,10,-6,2022,09,16
1934,MB,149622,377,2143,6,87,22,11,1,2022,09,23
1948,MB,149908,286,2160,17,73,-14,11,0,2022,09,30
1962,MB,150213,305,2177,17,77,4,13,2,2022,10,07
1976,MB,150554,341,2190,13,73,-4,14,1,2022,10,14
1990,MB,150957,403,2199,9,103,30,14,0,2022,10,21
2004,MB,151319,362,2211,12,100,-3,16,2,2022,10,28
2018,MB,151730,411,2232,21,116,16,7,-9,2022,11,04
2032,MB,152072,342,2256,24,110,-6,8,1,2022,11,11
2046,MB,152072,0,2256,0,110,0,8,0,2022,11,18
2060,MB,152233,161,2256,0,82,-28,12,4,2022,11,25
2074,MB,152483,250,2256,0,82,0,19,7,2022,12,02
2088,MB,152734,251,2256,0,76,-6,7,-12,2022,12,09
2102,MB,152888,154,2256,0,59,-17,15,8,2022,12,16
2116,MB,153046,158,2256,0,50,-9,12,-3,2022,12,23
2130,MB,153046,0,2256,0,50,0,12,0,2022,12,30
2144,MB,153180,134,2256,0,50,0,12,0,2023,01,06
2158,MB,153305,125,2256,0,38,-12,7,-5,2023,01,13
2172,MB,153427,122,2256,0,28,-10,6,-1,2023,01,20
2186,MB,153486,59,2256,0,7,-21,3,-3,2023,01,27
2200,MB,153548,62,2256,0,6,-1,2,-1,2023,02,03
2215,MB,153613,65,2256,0,11,5,3,1,2023,02,10
2229,MB,153721,108,2256,0,36,25,5,2,2023,02,17
2243,MB,153811,90,2256,0,36,0,3,-2,2023,02,24
2257,MB,153935,124,2256,0,56,20,9,6,2023,03,03
2271,MB,154085,150,2256,0,59,3,8,-1,2023,03,10
53,NB,0,0,0,0,0,0,0,0,2020,01,31
67,NB,0,0,0,0,0,0,0,0,2020,02,07
81,NB,0,0,0,0,0,0,0,0,2020,02,14
95,NB,0,0,0,0,0,0,0,0,2020,02,21
159,NB,0,0,0,0,0,0,0,0,2020,02,28
185,NB,0,0,0,0,0,0,0,0,2020,03,06
213,NB,1,1,0,0,0,0,0,0,2020,03,13
274,NB,11,10,0,0,0,0,0,0,2020,03,20
302,NB,45,34,0,0,0,0,0,0,2020,03,27
325,NB,95,50,0,0,0,0,0,0,2020,04,03
339,NB,112,17,0,0,5,5,3,3,2020,04,10
176,NB,117,5,0,0,5,0,3,0,2020,04,17
204,NB,118,1,0,0,4,-1,1,-2,2020,04,24
223,NB,118,0,0,0,0,-4,0,-1,2020,05,01
237,NB,120,2,0,0,0,0,0,0,2020,05,08
113,NB,120,0,0,0,0,0,0,0,2020,05,15
127,NB,121,1,0,0,0,0,0,0,2020,05,22
141,NB,128,7,0,0,2,2,2,2,2020,05,29
248,NB,136,8,1,1,4,2,1,-1,2020,06,05
269,NB,154,18,1,0,5,1,1,0,2020,06,12
295,NB,164,10,2,1,2,-3,1,0,2020,06,19
349,NB,165,1,2,0,2,0,1,0,2020,06,26
11,NB,165,0,2,0,1,-1,1,0,2020,07,03
25,NB,166,1,2,0,0,-1,0,-1,2020,07,10
39,NB,168,2,2,0,0,0,0,0,2020,07,17
352,NB,170,2,2,0,0,0,0,0,2020,07,24
367,NB,170,0,2,0,0,0,0,0,2020,07,31
381,NB,176,6,2,0,0,0,0,0,2020,08,07
395,NB,180,4,2,0,0,0,0,0,2020,08,14
422,NB,188,8,2,0,0,0,0,0,2020,08,21
441,NB,191,3,2,0,0,0,0,0,2020,08,28
455,NB,192,1,2,0,0,0,0,0,2020,09,04
468,NB,193,1,2,0,0,0,0,0,2020,09,11
524,NB,194,1,2,0,0,0,0,0,2020,09,18
619,NB,200,6,2,0,0,0,0,0,2020,09,25
661,NB,200,0,2,0,0,0,0,0,2020,10,02
494,NB,238,38,2,0,3,3,0,0,2020,10,09
538,NB,297,59,2,0,4,1,1,1,2020,10,16
552,NB,324,27,4,2,5,1,1,0,2020,10,23
566,NB,342,18,6,2,4,-1,0,-1,2020,10,30
763,NB,350,8,6,0,3,-1,0,0,2020,11,06
777,NB,358,8,6,0,1,-2,1,1,2020,11,13
791,NB,401,43,6,0,1,0,0,-1,2020,11,20
407,NB,477,76,7,1,1,0,0,0,2020,11,27
487,NB,528,51,7,0,0,-1,0,0,2020,12,04
570,NB,554,26,8,1,4,4,3,3,2020,12,11
597,NB,573,19,8,0,3,-1,2,-1,2020,12,18
509,NB,588,15,8,0,1,-2,1,-1,2020,12,25
609,NB,601,13,9,1,1,0,1,0,2021,01,01
643,NB,735,134,9,0,0,-1,0,-1,2021,01,08
592,NB,884,149,12,3,4,4,1,1,2021,01,15
638,NB,1087,203,13,1,5,1,3,2,2021,01,22
681,NB,1218,131,17,4,4,-1,2,-1,2021,01,29
695,NB,1325,107,18,1,6,2,3,1,2021,02,05
709,NB,1382,57,22,4,6,0,2,-1,2021,02,12
723,NB,1417,35,24,2,6,0,1,-1,2021,02,19
737,NB,1428,11,26,2,1,-5,1,0,2021,02,26
835,NB,1447,19,28,2,3,2,2,1,2021,03,05
942,NB,1465,18,30,2,1,-2,0,-2,2021,03,12
1053,NB,1486,21,30,0,1,0,0,0,2021,03,19
1128,NB,1559,73,30,0,4,3,0,0,2021,03,26
838,NB,1632,73,30,0,10,6,5,5,2021,04,02
945,NB,1694,62,32,2,19,9,13,8,2021,04,09
1045,NB,1767,73,33,1,20,1,12,-1,2021,04,16
1076,NB,1839,72,34,1,13,-7,5,-7,2021,04,23
1133,NB,1915,76,36,2,4,-9,2,-3,2021,04,30
1169,NB,1988,73,40,4,8,4,2,0,2021,05,07
1186,NB,2045,57,41,1,10,2,3,1,2021,05,14
891,NB,2113,68,43,2,7,-3,3,0,2021,05,21
994,NB,2181,68,43,0,7,0,3,0,2021,05,28
1062,NB,2253,72,44,1,5,-2,2,-1,2021,06,04
1138,NB,2284,31,44,0,4,-1,2,0,2021,06,11
830,NB,2311,27,45,1,6,2,2,0,2021,06,18
864,NB,2323,12,45,0,4,-2,1,-1,2021,06,25
878,NB,2336,13,45,0,5,1,0,-1,2021,07,02
810,NB,2336,0,46,1,2,-3,0,0,2021,07,09
938,NB,2345,9,46,0,0,-2,0,0,2021,07,16
1006,NB,2350,5,46,0,0,0,0,0,2021,07,23
1090,NB,2365,15,46,0,0,0,0,0,2021,07,30
909,NB,2414,49,46,0,0,0,0,0,2021,08,06
964,NB,2490,76,46,0,0,0,0,0,2021,08,13
978,NB,2614,124,46,0,1,1,0,0,2021,08,20
991,NB,2721,107,46,0,3,2,0,0,2021,08,27
1059,NB,2798,77,46,0,3,0,2,2,2021,09,03
1135,NB,2909,111,47,1,6,3,3,1,2021,09,10
1193,NB,3237,328,48,1,17,11,10,7,2021,09,17
1261,NB,3707,470,52,4,31,14,15,5,2021,09,24
1287,NB,4272,565,60,8,41,10,15,0,2021,10,01
1301,NB,4987,715,72,12,58,17,30,15,2021,10,08
1315,NB,5669,682,84,12,60,2,18,-12,2021,10,15
1353,NB,6072,403,106,22,50,-10,15,-3,2021,10,22
1387,NB,6380,308,114,8,28,-22,17,2,2021,10,29
1401,NB,6666,286,121,7,14,-14,9,-8,2021,11,05
1257,NB,7069,403,121,0,19,5,11,2,2021,11,12
1339,NB,7512,443,122,1,28,9,16,5,2021,11,19
1381,NB,8087,575,123,1,56,28,18,2,2021,11,26
1465,NB,8603,516,132,9,49,-7,16,-2,2021,12,03
1532,NB,9366,763,139,7,36,-13,12,-4,2021,12,10
1546,NB,10313,947,146,7,45,9,14,2,2021,12,17
1560,NB,11587,1274,152,6,34,-11,15,1,2021,12,24
1322,NB,14272,2685,160,8,45,11,21,6,2021,12,31
1364,NB,19857,5585,170,10,69,24,17,-4,2022,01,07
1442,NB,21979,2122,182,12,103,34,11,-6,2022,01,14
1520,NB,25003,3024,201,19,125,22,14,3,2022,01,21
1209,NB,28045,3042,228,27,135,10,16,2,2022,01,28
1223,NB,30306,2261,252,24,163,28,17,1,2022,02,04
1238,NB,32307,2001,282,30,135,-28,13,-4,2022,02,11
1411,NB,34222,1915,298,16,78,-57,8,-5,2022,02,18
1463,NB,36417,2195,301,3,72,-6,3,-5,2022,02,25
1497,NB,38937,2520,309,8,92,20,8,5,2022,03,04
1511,NB,41512,2966,317,9,103,15,14,8,2022,03,11
1436,NB,42320,808,320,3,99,-4,13,-1,2022,03,18
1571,NB,45101,2781,336,16,129,30,16,3,2022,03,25
1585,NB,48197,3096,349,13,142,13,8,-8,2022,04,01
1599,NB,51854,3657,358,9,78,-64,9,1,2022,04,08
1613,NB,55812,3958,368,10,79,1,13,4,2022,04,15
1627,NB,58768,2956,378,10,79,0,6,-7,2022,04,22
1641,NB,60756,1988,384,6,87,8,13,7,2022,04,29
1655,NB,62148,1392,399,15,81,-6,10,-3,2022,05,06
1669,NB,63486,1338,406,7,47,-34,6,-4,2022,05,13
1683,NB,64490,1004,411,5,35,-12,4,-2,2022,05,20
1697,NB,65258,768,416,5,27,-8,2,-2,2022,05,27
1711,NB,65812,554,419,3,25,-2,2,0,2022,06,03
1725,NB,66345,533,421,2,28,3,3,1,2022,06,10
1739,NB,65697,-648,422,1,27,-1,2,-1,2022,06,17
1753,NB,67241,1544,422,0,25,-2,3,1,2022,06,24
1767,NB,67725,484,425,3,15,-10,1,-2,2022,07,01
1781,NB,68493,768,429,4,19,4,1,0,2022,07,08
1795,NB,69537,1044,433,4,36,17,9,8,2022,07,15
1809,NB,70541,1004,438,5,22,-14,1,-8,2022,07,22
1823,NB,71479,938,443,5,34,12,3,2,2022,07,29
1837,NB,72226,747,447,4,33,-1,5,2,2022,08,05
1851,NB,72968,742,451,4,32,-1,3,-2,2022,08,12
1865,NB,73643,675,456,5,27,-5,4,1,2022,08,19
1879,NB,74440,797,462,6,21,-6,1,-3,2022,08,26
1893,NB,75152,712,466,4,33,12,4,3,2022,09,02
1907,NB,75741,589,472,6,37,4,2,-2,2022,09,09
1921,NB,76316,575,476,4,35,-2,4,2,2022,09,16
1935,NB,76902,586,480,4,21,-14,2,-2,2022,09,23
1949,NB,77460,558,485,5,19,-2,2,0,2022,09,30
1963,NB,78056,596,490,5,19,0,1,-1,2022,10,07
1977,NB,78687,631,572,82,27,8,3,2,2022,10,14
1991,NB,79434,747,576,4,35,8,2,-1,2022,10,21
2005,NB,80126,692,585,9,33,-2,1,-1,2022,10,28
2019,NB,80715,589,592,7,43,10,2,1,2022,11,04
2033,NB,81269,554,599,7,33,-10,5,3,2022,11,11
2047,NB,81787,518,603,4,29,-4,0,-5,2022,11,18
2061,NB,82223,436,609,6,32,3,6,6,2022,11,25
2075,NB,82819,596,615,6,38,6,3,-3,2022,12,02
2089,NB,83425,606,621,6,40,2,0,-3,2022,12,09
2103,NB,84244,819,628,7,40,0,0,0,2022,12,16
2117,NB,84891,647,635,7,31,-9,0,0,2022,12,23
2131,NB,84891,0,635,0,31,0,0,0,2022,12,30
2145,NB,85897,1006,650,15,54,23,4,4,2023,01,06
2159,NB,86418,521,659,9,22,-32,1,-3,2023,01,13
2173,NB,86851,433,670,11,14,-8,2,1,2023,01,20
2187,NB,87172,321,681,11,17,3,4,2,2023,01,27
2201,NB,87435,263,689,8,12,-5,1,-3,2023,02,03
2216,NB,87774,339,695,6,9,-3,0,-1,2023,02,10
2230,NB,88153,379,704,9,10,1,3,3,2023,02,17
2244,NB,88503,350,707,3,20,10,1,-2,2023,02,24
2258,NB,88866,363,716,9,11,-9,2,1,2023,03,03
2272,NB,89226,360,724,8,11,0,0,-2,2023,03,10
54,NL,0,0,0,0,0,0,0,0,2020,01,31
68,NL,0,0,0,0,0,0,0,0,2020,02,07
82,NL,0,0,0,0,0,0,0,0,2020,02,14
96,NL,0,0,0,0,0,0,0,0,2020,02,21
161,NL,0,0,0,0,0,0,0,0,2020,02,28
187,NL,0,0,0,0,0,0,0,0,2020,03,06
239,NL,0,0,0,0,0,0,0,0,2020,03,13
276,NL,4,4,0,0,0,0,0,0,2020,03,20
304,NL,102,98,0,0,0,0,0,0,2020,03,27
326,NL,195,93,1,1,0,0,0,0,2020,04,03
340,NL,239,44,3,2,7,7,0,0,2020,04,10
178,NL,256,17,3,0,7,0,0,0,2020,04,17
206,NL,256,0,3,0,5,-2,0,0,2020,04,24
224,NL,259,3,3,0,4,-1,0,0,2020,05,01
100,NL,261,2,3,0,4,0,0,0,2020,05,08
114,NL,260,-1,3,0,3,-1,0,0,2020,05,15
128,NL,260,0,3,0,3,0,0,0,2020,05,22
142,NL,261,1,3,0,1,-2,0,0,2020,05,29
250,NL,261,0,3,0,1,0,0,0,2020,06,05
270,NL,261,0,3,0,1,0,0,0,2020,06,12
297,NL,261,0,3,0,0,-1,0,0,2020,06,19
351,NL,261,0,3,0,0,0,0,0,2020,06,26
12,NL,261,0,3,0,0,0,0,0,2020,07,03
26,NL,262,1,3,0,0,0,0,0,2020,07,10
40,NL,262,0,3,0,0,0,0,0,2020,07,17
354,NL,265,3,3,0,0,0,0,0,2020,07,24
368,NL,266,1,3,0,0,0,0,0,2020,07,31
382,NL,267,1,3,0,0,0,0,0,2020,08,07
396,NL,268,1,3,0,0,0,0,0,2020,08,14
424,NL,268,0,3,0,0,0,0,0,2020,08,21
442,NL,269,1,3,0,0,0,0,0,2020,08,28
456,NL,269,0,3,0,0,0,0,0,2020,09,04
472,NL,270,1,3,0,0,0,0,0,2020,09,11
528,NL,272,2,3,0,0,0,0,0,2020,09,18
622,NL,272,0,3,0,0,0,0,0,2020,09,25
662,NL,275,3,3,0,0,0,0,0,2020,10,02
498,NL,279,4,4,1,0,0,0,0,2020,10,09
539,NL,287,8,4,0,0,0,0,0,2020,10,16
553,NL,288,1,4,0,0,0,0,0,2020,10,23
750,NL,291,3,4,0,0,0,0,0,2020,10,30
764,NL,294,3,4,0,0,0,0,0,2020,11,06
778,NL,299,5,4,0,0,0,0,0,2020,11,13
792,NL,308,9,4,0,2,2,0,0,2020,11,20
409,NL,331,23,4,0,0,-2,0,0,2020,11,27
491,NL,343,12,4,0,0,0,0,0,2020,12,04
571,NL,355,12,4,0,0,0,0,0,2020,12,11
601,NL,372,17,4,0,1,1,0,0,2020,12,18
513,NL,384,12,4,0,1,0,0,0,2020,12,25
612,NL,390,6,4,0,1,0,0,0,2021,01,01
644,NL,392,2,4,0,1,0,0,0,2021,01,08
596,NL,395,3,4,0,1,0,0,0,2021,01,15
668,NL,398,3,4,0,1,0,0,0,2021,01,22
682,NL,408,10,4,0,1,0,0,0,2021,01,29
696,NL,412,4,4,0,0,-1,0,0,2021,02,05
