,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
1298,AB,308275,8473,2830,99,1101,35,250,-13,2021,10,08
1312,AB,314252,5977,2946,116,1000,-101,229,-21,2021,10,15
1344,AB,319176,4924,3026,80,889,-111,191,-38,2021,10,22
1384,AB,322989,3813,3093,67,765,-124,180,-11,2021,10,29
1398,AB,325983,2994,3142,49,660,-105,141,-39,2021,11,05
1248,AB,329030,3047,3171,29,554,-106,110,-31,2021,11,12
1330,AB,331626,2596,3211,40,496,-58,93,-17,2021,11,19
1372,AB,334203,2577,3235,24,455,-41,90,-3,2021,11,26
1453,AB,336392,2189,3258,23,395,-60,78,-12,2021,12,03
1529,AB,338428,2036,3272,14,367,-28,71,-7,2021,12,10
1543,AB,341023,2595,3286,14,344,-23,68,-3,2021,12,17
1557,AB,346705,5682,3299,13,318,-26,64,-4,2021,12,24
1276,AB,357623,10918,3310,11,349,31,57,-7,2021,12,31
1355,AB,395252,37629,3338,28,504,155,64,7,2022,01,07
1430,AB,436495,41243,3380,42,822,318,81,17,2022,01,14
1484,AB,466616,30121,3429,49,1191,369,107,26,2022,01,21
1206,AB,487436,20820,3531,102,1496,305,105,-2,2022,01,28
1220,AB,503433,15997,3634,103,1584,88,118,13,2022,02,04
1234,AB,514165,10732,3741,107,1566,-18,127,9,2022,02,11
1265,AB,519970,5805,3830,89,1494,-72,116,-11,2022,02,18
1451,AB,524381,4411,3898,68,1295,-199,88,-28,2022,02,25
1494,AB,527604,3223,3954,56,1164,-131,77,-11,2022,03,04
1508,AB,530761,3659,4003,57,1045,-159,74,-6,2022,03,11
1424,AB,534285,3524,4023,20,966,-79,62,-12,2022,03,18
1479,AB,536166,1881,4044,21,956,-10,56,-6,2022,03,25
1582,AB,540733,4567,4074,30,964,8,47,-9,2022,04,01
1596,AB,546247,5514,4104,30,990,26,44,-3,2022,04,08
1610,AB,552403,6156,4141,37,1053,63,48,4,2022,04,15
1624,AB,558483,6080,4190,49,1126,73,43,-5,2022,04,22
1638,AB,565052,6569,4252,62,1220,94,47,4,2022,04,29
1652,AB,570806,5754,4321,69,1267,47,46,-1,2022,05,06
1666,AB,575185,4379,4391,70,1225,-42,37,-9,2022,05,13
1680,AB,578291,3106,4452,61,1165,-60,42,5,2022,05,20
1694,AB,580881,2590,4507,55,1040,-125,31,-11,2022,05,27
1708,AB,583112,2231,4558,51,931,-109,29,-2,2022,06,03
1722,AB,584763,1651,4567,9,816,-115,24,-5,2022,06,10
1736,AB,586108,1345,4591,24,719,-97,19,-5,2022,06,17
1750,AB,587890,1782,4604,13,661,-58,17,-2,2022,06,24
1764,AB,588691,801,4621,17,589,-72,13,-4,2022,07,01
1778,AB,589726,1035,4636,15,568,-21,21,8,2022,07,08
1792,AB,591083,1357,4632,-4,552,-16,16,-5,2022,07,15
1806,AB,592767,1684,4652,20,559,7,23,7,2022,07,22
1820,AB,594474,1707,4665,13,649,90,26,3,2022,07,29
1834,AB,596126,1652,4673,8,702,53,28,2,2022,08,05
1848,AB,597891,1765,4694,21,748,46,28,0,2022,08,12
1862,AB,599504,1613,4721,27,818,70,28,0,2022,08,19
1876,AB,601337,1833,4748,27,870,52,32,4,2022,08,26
1890,AB,602434,1097,4790,42,857,-13,20,-12,2022,09,02
1904,AB,603501,1067,4832,42,799,-58,20,0,2022,09,09
1918,AB,604578,1077,4848,16,819,20,26,6,2022,09,16
1932,AB,605757,1179,4872,24,843,24,26,0,2022,09,23
1946,AB,607289,1532,4905,33,980,137,39,13,2022,09,30
1960,AB,607289,0,4905,0,980,0,39,0,2022,10,07
1974,AB,610027,2738,4951,46,1014,34,31,-8,2022,10,14
1988,AB,611389,1362,4983,32,1070,56,33,2,2022,10,21
2002,AB,612693,1304,5011,28,1118,48,28,-5,2022,10,28
2016,AB,614234,1541,5047,36,1095,-23,24,-4,2022,11,04
2030,AB,615359,1125,5093,46,1090,-5,36,12,2022,11,11
2044,AB,616682,1323,5137,44,1141,51,40,4,2022,11,18
2058,AB,618030,1348,5177,40,1107,-34,40,0,2022,11,25
2072,AB,619345,1315,5216,39,1077,-30,46,6,2022,12,02
2086,AB,620475,1130,5262,46,1042,-35,38,-8,2022,12,09
2100,AB,621512,1037,5308,46,992,-50,32,-6,2022,12,16
2114,AB,622428,916,5351,43,910,-82,33,1,2022,12,23
2128,AB,622428,0,5351,0,910,0,33,0,2022,12,30
2142,AB,624474,2046,5415,64,912,2,40,7,2023,01,06
2156,AB,625120,646,5443,28,878,-34,31,-9,2023,01,13
2170,AB,625948,828,5470,27,856,-22,29,-2,2023,01,20
2184,AB,626594,646,5465,-5,778,-78,29,0,2023,01,27
2198,AB,627184,590,5486,21,702,-76,25,-4,2023,02,03
2213,AB,627727,543,5510,24,683,-19,22,-3,2023,02,10
